name,github_url,project_description,act_sdg1,act_sdg2,act_sdg3,act_sdg4,act_sdg5,act_sdg6,act_sdg7,act_sdg8,act_sdg9,act_sdg10,act_sdg11,act_sdg12,act_sdg13,act_sdg14,act_sdg15,act_sdg16,act_sdg17,pred_readme_sdg1,pred_readme_sdg2,pred_readme_sdg3,pred_readme_sdg4,pred_readme_sdg5,pred_readme_sdg6,pred_readme_sdg7,pred_readme_sdg8,pred_readme_sdg9,pred_readme_sdg10,pred_readme_sdg11,pred_readme_sdg12,pred_readme_sdg13,pred_readme_sdg14,pred_readme_sdg15,pred_readme_sdg16,pred_readme_sdg17
Agrontology,,"The Agrontology adds a semantic layer to any agri-food vocabulary (or dataset), providing domain-specific properties for concepts in the areas covered by the Food and Agriculture Organization of the United Nations (FAO). Domain-specific semantic relations improve data and information exchange across repositories and institutions, which is essential to make and monitor progress towards the SDGs: in the case of the Agrontology, particularly the SDGs that have indicators for which FAO is the custodian UN agency. FAO is the custodian UN agency for 21 indicators and is a contributing agency to 5 more, spanning SDGs 1, 2, 5, 6, 12, 14 and 15.",1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rural Environmental Registry Registration Module,https://github.com/Rural-Environmental-Registry/core,"The Rural Environmental Registry (RER) directly contributes to several Sustainable Development Goals by integrating environmental management with sustainable rural development. Regarding SDG 2 (Zero Hunger and Sustainable Agriculture), RER promotes environmentally responsible agricultural production, encouraging sustainable land use and environmental regularization of rural properties to increase productivity without harming ecosystems (Target 2.4). For SDG 6 (Clean Water and Sanitation), RER calculates and identifies Permanent Preservation Areas (PPAs), which are native vegetation areas that should be kept conserved around water bodies of every kind, protecting springs and riparian forests, strengthening watershed management, and ensuring water quality (Target 6.3, 6.5, 6.6). Concerning SDG 8 (Decent Work and Economic Growth), it may be used to enable access to public policies that support sustainable rural activities, fostering income generation and employment with social and environmental responsibility (Target 8.2, 8.3, 8.4). In SDG 12 (Responsible Consumption and Production), RER promotes balanced agricultural practices, restoration of degraded areas, and production traceability, encouraging sustainable consumption and production patterns (Target 12.2). SDG 13 (Climate Action) is the main SDG related to RER. The solution and environmental concepts behind it enable states to share responsibility for forest and environmental conservation with society, namely rural landholders and landowners. The main concept behind RER is that every rural property should play a role in conserving sensitive environmental assets, such as water streams and water springs, and forests located in their area. This allows for deforestation monitoring and reduction, maintenance of carbon stocks, payment for environmental services, protection of water sources, soil and biodiversity, thus reinforcing evidence-based climate policies (Target 13.2). Regarding SDG 14 (Life Below Water), RER protects riverbanks and water springs, helping to reduce pollution and sedimentation that impact aquatic and coastal ecosystems (Target 14.1, 14.2). Finally, in SDG 15 (Life on Land), RER plays a key role in conserving, restoring, and ensuring the sustainable use of terrestrial ecosystems by monitoring vegetation cover, promoting forest recovery, and protecting biodiversity (Target 15.2, 15.3, 15.4).",0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KoboToolbox,https://github.com/kobotoolbox/,"SDG 10 & SDG 11 - Humanitarian response and peacebuilding: In Ukraine and neighboring countries, the IFRC and national Red Cross societies are using KoboToolbox to conduct needs assessments and provide critical support to people affected by the conflict. In Niger, KoboToolbox is used to plan and supervise infrastructure investments for refugees, providing improved access to shelter and other crucial resources. In Ukraine, UNHCR is using KoboToolbox to inform emergency response efforts and provide humanitarian assistance, including relocation initiatives and cash-based interventions, in collaboration with local authorities, United Nations agencies, and displaced community groups. WeWorld-GVC, an organization dedicated to supporting development cooperation and humanitarian aid, used KoboToolbox to successfully digitize their fleet management data collection in Burundi. With their improved fleet management system, they have greater access to the data and insights needed for more efficient logistics and more effective crisis response. KoboToolbox was selected as the official data collection and coordination tool for the Recovery and Peacebuilding Process in the Central African Republic. In the aftermath of Hurricane Iota in late 2020, KoboToolbox has been used to streamline data collection and disaster relief efforts in Cartagena, improving access to basic necessities for 5,000 households in affected communities. SDG 13 - Climate change and environmental protection: As part of the World Bank Air Quality Management technical assistance program which aims to reduce air pollution in the Indo-Gangetic Plain (IGP) states, The Energy and Resources Institute (TERI) used KoboToolbox to conduct a survey that informed a Clean Cookstove Pilot in Bihar and established 25 women-led energy enterprises in the area. The Climate Smart Agriculture and Water (CSAW Sofala) project in Mozambique aims to improve the livelihoods of 7,800 smallholder farm families in the Sofala province and build resilience to future stressor events. Using KoboToolbox to collect precise geolocation data, the CSAW team is able to make more accurate data-driven decisions and monitor the progress and impact of the project. The Environmental Justice Foundation, an organization dedicated to promoting a sustainable global environment, has been using KoboToolbox to document the nature and scale of illegal fishing and human rights abuses on board the world's largest distant water fishing fleets. Blue Ventures, a marine conservation organization, is using KoboToolbox to support remote and rural coastal communities to monitor fisheries themselves with access to real-time data and insights. Blue Ventures’ work in Madagascar, Indonesia, Timor-Leste, and Comoros shows how KoboToolbox can be used to drive community-led action for change and protect the coastal environment for future generations. SDG 4 - Education: KoboToolbox partnered with Education Above All (EAA) and UNESCO to build the Track Attacks on Education (TRACE) Data Portal. TRACE is an online portal that supports the collection and sharing of accurate real-time data about attacks on education. The portal is crucial to sharing information with affected communities, humanitarian actors, and development workers as well as providing reliable data to inform policy, advocacy, and reporting. To better understand the needs of schools and students and to improve resource distribution, the Democratic Republic of Congo (DRC) Ministry of Education used KoboToolbox to create the first database of all the country’s primary and secondary schools. SDG 5 & SDG 10 - Social and economic development: In the Philippines, the Department of Agrarian Reform uses KoboToolbox to gather crucial geo-tagged data for the Support to Parcelization of Lands for Individual Titling project which aims to build the resilience and resources of local farmers. In Cambodia, KoboToolbox empowers communities to collect and analyze WASH data, giving them increased agency in decision making and resource allocation. In Siem Reap province, HURREDO (Human Resource and Rural Economic Development Organization) helped establish a women-led community-based organization called Run Samaki for Development (RSD), which is focused on addressing key water and sanitation issues in their community. Using KoboToolbox, the Caribbean Development Bank’s Basic Needs Trust Fund (BNTF) is working to build local community capacity and reduce poverty in nine Caribbean countries by promoting economic and social development initiatives that improve quality of life. Data collected with KoboToolbox helps direct BNTF’s grant financing towards sustainable and inclusive development for the most vulnerable communities. KoboToolbox is central to an initiative that is actively engaged in improving labor conditions for workers in the cane sugar supply chain. CNV Internationaal’s Labor Rights Observatory initiative provided a platform for the voices of sugar workers to be heard, with the insights gathered using KoboToolbox leading to the publication of the first annual report for the Latin American sugar cane sector. SDG 3 - Health: To support the health of school children in Uganda, KoboToolbox has been used to monitor crucial deworming activities that ensure their well-being. To improve access to healthcare, KoboToolbox has been used in Sudan to map remote health facilities and track available services and medicine. More stories about how KoboToolbox is being used around the world can be found on our blog: https://www.kobotoolbox.org/blog/",0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National Carbon Credit Registry,https://github.com/undp/carbon-registry,SDG7: Lowering costs of green energy programmes SDG8:Creating green job ecosystem SDG9: Encouraging micro to large-scale green innovation initiatives SDG12: Establishing international green trade technical schemas SDG13: Encouraging faster adoption of carbon credit offsets to reduce greenhouse gasses SDG17: Allowing government ownership as well as private participation in an open marketplace,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenSPP,https://github.com/openspp-project/openspp-registry,"OpenSPP enables governments and humanitarian agencies to support the underprivileged through assistance programs. The platform supports both cash transfer and in-kind transfer activities. OpenSPP is currently being deployed in the Middle East to support a country-wide government in-kind transfer program that targets the most vulnerable populations (helping towards the achievement of Target 1.3)., OpenSPP can be used to distribute food assistance to the most vulnerable populations thanks to offline registration and advance targeting of qualified beneficiaries. MUAC monitoring for mother and child can be implemented to distribute specialized nutritious foods to prevent stunting in children under 5 of age (helping towards the achievement of Target 2.2). OpenSPP is currently being deployed in the Middle East to support a country-wide government in-kind transfer program that targets the most vulnerable populations (helping towards the achievement of Target 2.1)., OpenSPP can be used to implement various types of health and well-being programs, from antenatal and postnatal programs to ensure maternal and child well-being to the distribution of health and hygiene kits. For instance, programs can be configured to implement cash or food distribution in the context of MUAC monitoring for mother and child (helping towards the achievement of Targets 3.1 and 3.2)., OpenSPP can be used to implement attendance tracking in school feeding programs that provide both educational and health benefits to the most vulnerable children. School feeding programs act as an incentive for families to enroll and keep children in school (helping towards the achievement of Targets 4.1 and 4.2)., From intent and design to implementation, OpenSPP allows for the integration of gender considerations into all aspects of a social protection program (helping towards the achievement of Target 5.1). The platform can also be used to create and manage school feeding programs that, according to WFP, empower girls by dissuading parents from marrying them off early, which halts their education and can result in child pregnancies., From intent and design to implementation, OpenSPP allows for the integration of inequality considerations into all aspects of a social protection program, helping beneficiaries receive what they need. OpenSPP helps governments implement and monitor social protection policies (helping towards the achievement of Target 10.4)., OpenSPP is developed by people in the Global South (Thailand, the Philippines, Laos, and Vietnam) for the Global South (helping towards the achievement of Targets 17.6 and 17.9), and it allows and encourages local companies to provide support for the solution. OpenSPP is particularly well suited to provide support to developing countries to significantly increase the availability of high-quality, timely and reliable data disaggregated by income, gender, age, race, ethnicity, migratory status, disability, geographic location and other characteristics relevant in national contexts (helping towards the achievement of Target 17.I).",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QField,https://github.com/opengisch/QField,"QField's capabilities extend beyond just one aspect of the United Nations Sustainable Development Goals (SDGs); they intersect with multiple goals, enhancing efforts towards a sustainable future. SDG 6 (Clean Water and Sanitation): QField supports the mapping and monitoring of water resources, aiding in the management of clean water and sanitation projects. SDG 9 (Industry, Innovation, and Infrastructure): By promoting innovative data collection methods, QField contributes to building resilient infrastructure and fostering innovation. SDG 11 (Sustainable Cities and Communities): Urban planners utilize QField for sustainable urban development, ensuring that cities grow harmoniously with natural resources. SDG 13 (Climate Action): Environmentalists leverage QField to track climate change impacts, helping to inform and implement measures to combat climate change. SDG 14 (Life Below Water): The application aids in the collection of marine data, which is crucial for protecting life below water through sustainable ocean management. SDG 15 (Life on Land): QField is instrumental in biodiversity conservation projects, enabling tracking species and habitats to preserve life on land. SDG 16 (Peace, Justice, and Strong Institutions): By improving transparency in data collection, QField helps strengthen institutions and supports enforcing laws and policies related to environmental protection. QField is a versatile tool that empowers various stakeholders to contribute to multiple SDGs through improved data accessibility and decision-making processes.",0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotesMaster,,"As a freely accessible elearning platform, NotesMaster provides access to quality lessons in 31 countries, authored by local teachers and based around the local curriculum. The digital content authored on Notesmaster is published under Creative Commons Licenses CC BY SA 4.0 and can be copied and repurposed by all education stakeholders. The OER content can be remixed and easily shared to support diverse curricula. All content on Notesmaster is a digital public good and can be used on the platform or downloaded to MS Word and used away from the platform. It can also be accessed without login for use in other learning platforms. The recent UNICEF-NotesMaster program in Trinidad and Tobago has produced OER content that is being used and reversioned by participants of similar OER programs in Dominica, Grenada, Zambia, Namibia and Malawi., In the OER content programs NotesMaster manages for the Commonwealth of Learning we use the Common Wealth of Learning Gender Mainstreaming Toolkit for Teachers and Teacher Educators as well as the Checklist for the Development of Gender-Responsive Learning Materials to ensure that gender equality is met in all subjects developed., NotesMaster is an online education innovation in that it allows content to be created by local teachers, that is based around the local curriculum. The NotesMaster Library allows the content from all 31 countries to be easily accessed, used or remixed to suit local customs. The library also supports access in other popular learning platforms such as Edmodo, and Google Classroom., Through free and open access to quality education resources for formal learners and also second chance learners. Notesmaster collaborated with its partner the Caribbean Examinations Council to implement the '2nd Chance Program' to the ‘at risk’ youth population (16-30 age group) in 9 regional territories of the Caribbean., Through its partnership with the Namibian College of Open Learning, NotesMaster was pleased to be awarded a WSA for best societal impact for its digital resources. This program led to improved outcomes for communities in Namibia and for second chance learners aged 14-21., Through a collaboration with Commonwealth of Learning, Ministry of Education Zambia, and local teachers, education officers and other partners, NotesMaster successfully piloted eLearning technologies in Muchinga Province, Zambia which in its first year saw an 11% increase (37% to 49%) in pass rates for secondary level exams. Muchinga province moved from 11th (last) on the results charts to 7th. The program is being scaled up in 2021-2022. The link shows the news coverage of the program, with the Provincial Education Officer, praising the achievements.",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAOLEX,,"The FAOLEX database is relevant for a wide range of SDG goals and targets. It is highly relevant for specific indicators such as: Indicators 5.a.2: Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control Indicator 6.5.1: Degree of integrated water resources management implementation (0-100). Indicator 12.1.1: Number of countries developing, adopting, or implementing policy instruments aimed at supporting the shift to sustainable consumption and production. Indicator 14.6.1: Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported, and unregulated fishing. Indicator 14.b.1: Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries. Indicator 15.6.1: Number of countries that have adopted legislative, administrative, and policy frameworks to ensure fair and equitable sharing of benefits. Indicator 15.8.1: Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species.",0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalgo,https://github.com/DalgoT4D/,"Dalgo supports the social sector statistical capacity building in the nonprofits that use it. Our current nonprofit users work in the fields of water quality (SDG 6), early childhood education, K-12 education (SDG 4), vocational education, 21st-century skills (SDG 8), sanitation rights, and child and maternal health (SDG 3). By way of consolidation of intervention data collected from different sources, we enable nonprofits to generate holistic insights on their impact in these fields which inform their practice and communication of their impact. In line with SDG 9 target 9B - Support domestic technology development and industrial diversification: Dalgo also enables nonprofits to bring relevance to public data through the automated ingestion and processing of data from public data sources which is then made conveniently accessible to beneficiaries via on-ground or digital intervention (WhatsApp chatbots/webapps).",0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Roads Toolkit,,"SDG 6 – Clean Water and Sanitation (Relevant targets: 6.3, 6.6) The Green Roads Toolkit supports early-stage planning and assessment by helping project teams and decision makers identify road design and drainage practices that reduce pollution, manage runoff, and protect water bodies and watersheds, directly contributing to improved water quality and ecosystem protection. SDG 7 – Affordable and Clean Energy (Relevant targets: 7.3) Through planning and option assessment, the toolkit enables the selection of energy-efficient and low-carbon road solutions, helping reduce life-cycle energy consumption in transport infrastructure and supporting improvements in energy efficiency. SDG 11 – Sustainable Cities and Communities (Relevant targets: 11.2, 11.6) The toolkit is used during planning and appraisal to assess how road investments can improve accessibility, safety, and environmental performance, supporting inclusive mobility while reducing pollution and negative urban impacts. SDG 13 – Climate Action (Relevant targets: 13.1, 13.2) By integrating climate risk screening and decarbonization considerations into project planning, the toolkit helps decision-makers prioritize road alignments and designs that reduce greenhouse gas emissions and enhance climate resilience. SDG 15 – Life on Land (Relevant targets: 15.1, 15.5) The toolkit supports planning and environmental assessment processes by guiding the selection of road practices that avoid sensitive habitats, reduce land degradation, and incorporate biodiversity-friendly measures, minimizing impacts on terrestrial ecosystems.",0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interfacer,https://github.com/interfacerproject/interfacer-gui/tree/main,"SDG 11 - Sustainable Cities and Communities: The project's emphasis on the Interfacer model and the re-localization of production to urban areas corresponds with SDG 11's objective of creating inclusive, safe, resilient, and sustainable cities. By enabling communities to collaboratively produce goods and services, the solution actively contributes to sustainable urban development. SDG 9 - Industry, Innovation, and Infrastructure: The adoption of the Interfacer approach and the development of necessary digital infrastructure underscore the significance of innovation and technological advancement in driving circular economies. Through the promotion of open-source practices and global data sharing, the solution supports the advancement of industries and infrastructure in a sustainable manner. SDG 12 - Responsible Consumption and Production: The project's core aim of empowering communities to produce what they consume aligns seamlessly with SDG 12's target of ensuring responsible consumption and production patterns. By advocating for collaborative development and shared data, the solution contributes to minimizing waste and promoting sustainable resource management. SDG 13 - Climate Action: The focus on establishing regenerative urban models and promoting environmentally conscious production methods resonates with SDG 13's mission to combat climate change and its impacts. By endorsing sustainable practices and localized production, the solution plays a role in climate mitigation efforts. SDG 17 - Partnerships for the Goals: The project's collaborative approach in creating the Interfacer model and facilitating global data sharing aligns harmoniously with SDG 17's emphasis on forging partnerships and global cooperation. Through its encouragement of collaboration among communities, governments, and stakeholders, the solution strives to achieve shared sustainability objectives. In summary, the Interfacer team's solution, centered around the Interfacer model, establishes a robust relationship with several key SDGs by addressing urban sustainability, innovation, responsible consumption and production, climate action, and the fostering of partnerships.",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aam Digital,https://github.com/Aam-Digital/ndb-core,"Aam Digital is used by social sector organizations that directly work with beneficiaries on the ground. As a customizable software platform, it is contributing to the work of organizations working towards a number of SDGs: Projects use Aam Digital to track & coordinate - living conditions and interventions to improve livelihoods (SDG 1); - beneficiaries' health status and health-related activities (SDG 3); - student support programs, learning progress, and attendance at educational activities (SDG 4); - work focused on gender equity and girls' rights (SDG 5); - activities of capacity building for SMEs and their outcomes (SDG 8); - work with marginalized communities (SDG 10) - activities to overcome conflict and stereotypes (SDG 16) - with its data management and reporting Aam Digital provides an easy way to evaluate and communicate work between partnerships across the globe with transparency and accountability (SDG 16)",1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WaPOR,,"SDG 1: No poverty, SDG2: Zero Hunger,SDG6: Clean Water and Sanitation,SDG13: Climate Action,SDG15: Life on land Answer 2: The project is particularly suited to address and monitor the 6th SDG on water and sanitation, more precisely target 6.4: “by 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity”. WaPOR contributes to achieving the following sustainable development goals: SDG 1: to end poverty in all its forms everywhere, by supporting more resilient agricultural systems that can better and more reliably meet the needs of the people that work and depend on them. SDG 2: to end hunger, achieve food security and improve nutrition and promote sustainable agriculture, by supporting resilient agricultural systems that draw sustainably from available water resources. SDG 6: to ensure the availability and sustainable management of water and sanitation for all, by supporting water management initiatives with robust data that allows informed decision-making as well as supporting solutions that can help water users in agriculture make the most of their share of this dwindling resource, while ensuring that other water users can also get access, including environmental flows. SDG 13: to take urgent action to combat climate change and its impacts, by contributing to strengthening of the resilience and adaptive capacity of agricultural systems to climate-related hazards and the unpredictable changes in the weather patterns, SDG 15: to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss, by supporting increases in the productivity of existing cultivated lands, informing water management efforts that do not compromise on the importance of water flows that are essential to certain ecosystems, contributing to the monitoring of land cover, among others. link: https://www.fao.org/in-action/remote-sensing-for-water-productivity/wapor-sdg/en",0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CityLearn,https://github.com/intelligent-environments-lab/CityLearn,"CityLearn allows to work out how end-use energy demand can be shifted throughout the day. This helps aligning demand with availability of renewable energy resources (solar, wind), which reduces the reliance on fossil fuel powered thermal power generators. A specific problem of reducing cost, emissions and providing grid services has been used in the 2022 CityLearn Challenge here https://www.aicrowd.com/challenges/neurips-2022-citylearn-challenge CityLearn can be generalized to a variety of use cases though. It is the only tool that allows to work out demand-side energy shifting at scale.",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CodeCarbon,https://github.com/mlco2/codecarbon,"CodeCarbon allow users to understand how much energy and CO2 emissions are associated with a computer process. Knowing that the user could relocate the process to a region with less carbon-intensive electricity or reduce the electricity consumption with optimisation (Target 12.2, 12.6).",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aid Management Platform,https://github.com/devgateway/amp,"The Aid Management Platform (AMP) aligns with SDG 16's specific target 16.6 of ""develop[ing] effective, accountable and transparent institutions at all levels"" by providing governments and development partners with a tool that allows for both parties to conduct better resource planning, identify gaps and duplications in foreign assistance, better align foreign assistance to national priorities, and to make information about aid flows more transparent to civil society, citizens, journalists, researchers, and other stakeholders.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eco-Index Biodiversity Dashboards,https://github.com/eco-index/ecoindex-stack,"In line with SDG Target 15.5: Protect biodiversity and natural habitats, the digital tools that Eco-index creates help users track and understand the health of terrestrial biodiversity over time. This is relevant to all terrestrial ecosystem types (forests, wetlands, etc.). The tool is also being designed for use by local and national governments that are looking to bring their own biodiversity targets.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy Access Explorer,https://github.com/energyaccessexplorer,"Energy services are highly interconnected with socio-economic development and human well-being. Yet, life without reliable energy is a reality for more than 675 million people globally. Effectively expanding energy access requires proper energy planning and access to transparent analytical tools and data. To help address this challenge, WRI, in collaboration with partners has developed the Energy Access Explorer (EAE), a data-driven, integrated and inclusive approach to achieving universal access to energy for equitable, socio-economic development. EAE provides geospatial data and analytics necessary to create a future where all people and institutions have access to affordable, reliable and modern energy (SDG7).",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Productive Forests,https://github.com/Bioverse-Labs,"BIOVERSE was able to identify 5 -20 X more trees than initially known by the Indigenous Community of Kayapo and the Quilombola Community of Cachoeira Porteira. The economic impact of mapping the location of non-timber-related trees and serving the data to the community in the form of abundance maps makes a big difference in the harvesters' earnings potential. Productive Forests initiative directly impacts harvesting logistics and yields and, therefore, improves the lives of non-timber-related forest harvesters., Forest communities have very few options for generating income. Most employment and revenue-generating opportunities are linked to cattle ranching, deforestation, logging, mining, illegal wildlife hunting, and animal trafficking. The Productive Forests initiative seeks to strengthen income generation from sustainable practices such as the harvest of non-timber-related trees species that produce fruits, nuts, sap, and extracts and secures perennial crop harvesting while maintaining the forest standing for subsequent generations.",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Spatial Planning - SAHAV,https://github.com/nccrmoes/MSP-SAHAV,"SDG11: SAHAV helps to create sustainable, resilient coastal and marine environments that enhance urban planning and ensure inclusive, safe, and accessible environments for coastal communities. SDG13: SAHAV supports climate action through the sustainable management of marine and coastal ecosystems, which helps mitigate climate change impacts and enhance resilience. SDG14: SAHAV promotes sustainable use and protection of marine resources, conserving marine biodiversity, and preventing over-exploitation of ocean ecosystems. SDG15: SAHAV ensures the conservation and sustainable use of terrestrial ecosystems and biodiversity, particularly in coastal and marine areas that are critical for both land and sea ecosystems.",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessible Kazakhstan,https://github.com/qlt2020/doskaz,"The 'Accessible Kazakhstan' map reflects the needs of those who particularly seek accessible, safe and comfortable public space, including people with disabilities, parents with small children in prams, the elderly, pregnant women, temporarily injured people and children under seven years old. When monitoring a public facility, the owner of the facility is present, and the project team immediately notifies him or her of which elements of the facility do not meet the standards for accessibility of facilities open to the public. On the portal “Accessible Kazakhstan” one can find checklists with criteria for assessing accessibility of facilities, so that, if desired, the owners can read them and afterwards be involved in monitoring independently. Upon request, the project team develops recommendations, on the basis of which owners and government agencies start working on the adaptation of particular facilities for the aforementioned categories of citizens. Based on current data on accessibility of public facilities, comprehensive policies and plans for inclusion can be adopted and implemented. This, in turn, will reduce inequalities and accelerate achievement of other Sustainable Development Goals that affect development of an inclusive society. The world community needs qualified specialists who are able to form a barrier-free environment. It is for the purpose of training such specialists in 2019 within the framework of the “Accessible Kazakhstan” project that a unique online course “Ensuring accessibility of a public facility” was developed. The course: helps to get acquainted with legislation governing the provision of access to public facilities for people with disabilities and other population groups with limited mobility; can be used to find out what criteria accessibility of public facilities and open spaces is evaluated by; explains how to protect one’s right to a barrier-free environment; teaches how to monitor a public facility and develop recommendations for its adaptation to the needs of people with disabilities.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AccessMod,https://github.com/unige-geohealth/accessmod,"AccessMod contributes to SDG target 3.8: achieve Universal Health Coverage (UHC) by ensuring that all people have a physical access to the health services they need where they need them. It has been used in more than 40 low- and middle-income countries, and also in support of national health authorities and international health programs and organizations (WHO, UNFPA, UNICEF, The Global Fund, The World Bank, IDB, FIND).",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African Storybook,https://github.com/global-asp/global-asp,"The African Storybook is composed of 4269 storybooks and 8098 translations available in 242 languages which provides open access to picture storybooks in the languages of Africa and many others for children’s literacy, enjoyment, and imagination. This is in line with SDG4: Quality Education and its target 4.1 Free primary and secondary education and 4.2 Equal access to quality pre-primary education. There are also reviews and descriptions of African Storybook at: https://www.alllanguageresources.com/african-storybook/ https://allafrica.com/stories/202202110011.html - This review stresses the importance of quality storybooks in indigenous languages which is one of the features of ASb https://oep.merlot.org/docs/african-storybook.pdf A published research article on ASb can be found here: https://onlinelibrary.wiley.com/doi/10.1111/modl.12374",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altinn,https://github.com/Altinn/altinn-studio,"It’s essential for governments and institutions to be able to have effective dialogue with its population an businesses using a trusted platform. Altinn is such a platform, used by every organisation and the whole population in Norway, since 2003.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
